GPIO_Pin,Bank,Bit,Direction,Purpose,Active_Level,Signal_Name,Connected_To,AST2620_Ball,Schematic_Page,Notes,Status
GPIOB0,B,0,Input,HPM Standby Ready,High (active high),HPM_BMC_STBY_RDY,HPM FPGA,J26,9 and 11 and 30,SALT1 mode; via R62 0ohm; BMC monitors HPM readiness,CONFIRMED
GPIOB1,B,1,TBD,TBD,TBD,TBD,TBD,K23,9 and 11 and 30,SALT2 mode; signal name TBD from schematic,TBD
GPIOH0,H,0,Output,SGPIO Master 1 Clock,N/A,SGPIOM1_BMC_PLD_CLK,SCM PLD,A18,SGPIO page,SGPIOM1 interface to SCM PLD for panel LEDs,CONFIRMED
GPIOH1,H,1,Output,SGPIO Master 1 Load,N/A,SGPIOM1_BMC_PLD_LD,SCM PLD,B18,SGPIO page,SGPIOM1 interface to SCM PLD,CONFIRMED
GPIOH2,H,2,Output,SGPIO Master 1 Data Out,N/A,SGPIOM1_BMC_PLD_DO,SCM PLD,C18,SGPIO page,SGPIOM1 interface to SCM PLD,CONFIRMED
GPIOH3,H,3,Input,SGPIO Master 1 Data In,N/A,SGPIOM1_PLD_BMC_DI,SCM PLD,A17,SGPIO page,SGPIOM1 interface to SCM PLD,CONFIRMED
GPIOH4,H,4,Output,I2C15 SCL (local DC-SCM bus),N/A,I2C_BMC_R_SCL15,Local DC-SCM devices (TEMP/FRU/RTC/PMIC/PLD),D18,I2C/SGPIO page,Muxed with SGPS1CK; BMC_I2C15 controller,CONFIRMED
GPIOH5,H,5,Bidir,I2C15 SDA (local DC-SCM bus),N/A,I2C_BMC_R_SDA15,Local DC-SCM devices (TEMP/FRU/RTC/PMIC/PLD),B17,I2C/SGPIO page,Muxed with SGPS1LD; BMC_I2C15 controller,CONFIRMED
GPIOH6,H,6,Output,I2C16 SCL (PFR bus),N/A,I2C_BMC_PFR_SCL16_R,PROT_AST1060 PFR chip,C17,I2C/SGPIO page,Muxed with SGPS1I0; BMC_I2C16 controller,CONFIRMED
GPIOH7,H,7,Bidir,I2C16 SDA (PFR bus),N/A,I2C_BMC_PFR_SDA16_R,PROT_AST1060 PFR chip,E18,I2C/SGPIO page,Muxed with SGPS1I1; BMC_I2C16 controller,CONFIRMED
