AST2620_Bus,GoldFinger_Signal,GoldFinger_Pins,Address,IC_PartNumber,Reference_Designator,Device_Type,Purpose,EntityManager_Type,Notes,Status
15 (local),N/A (on-module),N/A,0x48,LM73CIMK,TBD,Temperature,DC-SCM Local Temp Sensor 1 (TEMP1),LM73,BMC_I2C15; on DC-SCM module; CONFIRMED from schematic pg 34; compatible=ti,lm73,CONFIRMED
15 (local),N/A (on-module),N/A,0x49,LM73CIMK,TBD,Temperature,DC-SCM Local Temp Sensor 2 (TEMP2),LM73,BMC_I2C15; on DC-SCM module; CONFIRMED from schematic pg 34; compatible=ti,lm73,CONFIRMED
15 (local),N/A (on-module),N/A,0x50,ST M24C64-RMN6TP,TBD,EEPROM,SCM FRU EEPROM (VPD / asset data),EEPROM,BMC_I2C15; 8KB; pagesize=32B; CORRECTED (was AT24C128 with pagesize=64); compatible=st,m24c64,CONFIRMED
15 (local),N/A (on-module),N/A,0x32,Epson RX8130CE,TBD,RTC,Real-Time Clock,RTC,BMC_I2C15; CONFIRMED from schematic pg 34; compatible=epson,rx8130; CORRECTED (was TBD / rv8803),CONFIRMED
15 (local),N/A (on-module),N/A,0x12,APW6016P1,TBD,PMIC,Power Management IC (step-down DC-DC),PMIC,BMC_I2C15; CONFIRMED from schematic pg 36; address CORRECTED (was 0x14); compatible=anpec,apw6016p1,CONFIRMED
15 (local),N/A (on-module),N/A,0x40,SCM PLD (Lattice LCMXO3D-9400HC-5BG256C),TBD,PLD/CPLD,SCM Platform Logic Device - fan control / SGPIO / platform logic,PLD,BMC_I2C15; 0x40=update/programming address; 0x6F=secondary addr via PFR_I2C5 (TBD); BGA256 9400 LUT,CONFIRMED
11,I2C_3V3_0,A15/A16,TBD,TBD,TBD,TBD,Carrier board devices on I2C_3V3_0,TBD,BMC_I2C11; gold finger bus; carrier-side devices TBD,TBD
10,I2C_3V3_4,A45/A46,0x74,PCA9539,U27,GPIO_Expander,BIOS Updates GPIO Expander (16-bit),PCA9539,BMC_I2C10; BIOS SPI flash update control,CONFIRMED
5,I2C_3V3_5,A47/A48,0x34,UCD90120A,TBD,Power_Sequencer,Power sequencer / monitor,UCD90120A,BMC_I2C5; Main carrier sensor bus,CONFIRMED
5,I2C_3V3_5,A47/A48,0x4D,TMP435,TBD,Temperature,Dual-channel temp sensor (local + CPU remote junction),TMP435,BMC_I2C5; alert: MAC_TEMP_ALERT_L,CONFIRMED
5,I2C_3V3_5,A47/A48,0x48,TMP75,TBD,Temperature,Ambient Thermal Sensor For AFO,TMP75,BMC_I2C5; carrier sensor #0,CONFIRMED
5,I2C_3V3_5,A47/A48,0x49,TMP75,TBD,Temperature,Hot Spot Thermal Sensor,TMP75,BMC_I2C5; carrier sensor #1,CONFIRMED
5,I2C_3V3_5,A47/A48,0x4A,TMP75,TBD,Temperature,Hot Spot Thermal Sensor For AFI,TMP75,BMC_I2C5; carrier sensor #2,CONFIRMED
5,I2C_3V3_5,A47/A48,0x4B,TMP75,TBD,Temperature,Thermal Sensor For OP2,TMP75,BMC_I2C5; carrier sensor #3,CONFIRMED
5,I2C_3V3_5,A47/A48,0x72,PCA9548,U16,I2C_Mux,Fan Extension Board I2C Mux (8-channel),PCA9548,BMC_I2C5; reset: 9548#16_RST_L,CONFIRMED
5,I2C_3V3_5,A47/A48,0x71,PCA9548,U15,I2C_Mux,PSU / Voltage Regulator I2C Mux (8-channel),PCA9548,BMC_I2C5,CONFIRMED
5 (via PCA9548#16 CH0),I2C_3V3_5,A47/A48,0x50,EEPROM,TBD,EEPROM,Fan Module 0 FRU EEPROM,EEPROM,Behind mux 0x72 channel 0,CONFIRMED
5 (via PCA9548#16 CH1),I2C_3V3_5,A47/A48,0x50,EEPROM,TBD,EEPROM,Fan Module 1 FRU EEPROM,EEPROM,Behind mux 0x72 channel 1,CONFIRMED
5 (via PCA9548#16 CH2),I2C_3V3_5,A47/A48,0x50,EEPROM,TBD,EEPROM,Fan Module 2 FRU EEPROM,EEPROM,Behind mux 0x72 channel 2,CONFIRMED
5 (via PCA9548#16 CH3),I2C_3V3_5,A47/A48,0x50,EEPROM,TBD,EEPROM,Fan Module 3 FRU EEPROM,EEPROM,Behind mux 0x72 channel 3,CONFIRMED
5 (via PCA9548#16 CH4),I2C_3V3_5,A47/A48,0x57,EEPROM,TBD,EEPROM,Fan Extension Board FRU EEPROM,EEPROM,Behind mux 0x72 channel 4,CONFIRMED
5 (via PCA9548#15 CH0),I2C_3V3_5,A47/A48,0x58,PSU,TBD,PSU,PSU0 PMBus Control,pmbus,Behind mux 0x71 channel 0; via ISO level shifter,CONFIRMED
5 (via PCA9548#15 CH0),I2C_3V3_5,A47/A48,0x50,EEPROM,TBD,EEPROM,PSU0 FRU EEPROM,EEPROM,Behind mux 0x71 channel 0,CONFIRMED
5 (via PCA9548#15 CH1),I2C_3V3_5,A47/A48,0x58,PSU,TBD,PSU,PSU1 PMBus Control,pmbus,Behind mux 0x71 channel 1; via ISO level shifter,CONFIRMED
5 (via PCA9548#15 CH1),I2C_3V3_5,A47/A48,0x50,EEPROM,TBD,EEPROM,PSU1 FRU EEPROM,EEPROM,Behind mux 0x71 channel 1,CONFIRMED
5 (via PCA9548#15 CH3),I2C_3V3_5,A47/A48,0x76,XDPE1A2G5BV,TBD,Voltage_Regulator,DC-DC Converter VR telemetry,pmbus,Behind mux 0x71 channel 3,CONFIRMED
5 (via PCA9548#15 CH3),I2C_3V3_5,A47/A48,0x45,TDA38740A,TBD,Voltage_Regulator,DC-DC Converter VR telemetry,pmbus,Behind mux 0x71 channel 3,CONFIRMED
5 (via PCA9548#15 CH3),I2C_3V3_5,A47/A48,0x1D,TPS549A20,TBD,Voltage_Regulator,DC-DC Converter VR telemetry,pmbus,Behind mux 0x71 channel 3,CONFIRMED
